Using Python from: /users/acb20si/.conda/envs/lejepa/bin/python
Python 3.11.13
[WARN] Skipping row 3124: No TIFF found for FAJA=26, PCA=7
[WARN] Skipping row 3127: No TIFF found for FAJA=26, PCA=7
[WARN] Skipping row 3134: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3138: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3151: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3155: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3156: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3170: No TIFF found for FAJA=33, PCA=7
[WARN] Skipping row 3203: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 3218: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 3223: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 3226: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3227: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3232: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3239: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3240: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3245: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3253: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3259: No TIFF found for FAJA=39, PCA=7
[WARN] Skipping row 3277: No TIFF found for FAJA=40, PCA=7
[WARN] Skipping row 3290: No TIFF found for FAJA=40, PCA=7
[WARN] Skipping row 3295: No TIFF found for FAJA=40, PCA=7
[WARN] Skipping row 3300: No TIFF found for FAJA=40, PCA=7
[WARN] Skipping row 3317: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3319: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3321: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3326: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3334: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3335: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3338: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3346: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3357: No TIFF found for FAJA=90, PCA=7
[WARN] Skipping row 3362: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3364: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3365: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3366: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3369: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3373: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3380: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3381: No TIFF found for FAJA=89, PCA=7
[WARN] Skipping row 3391: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3397: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3398: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3399: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3400: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3401: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3402: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3410: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3418: No TIFF found for FAJA=82, PCA=7
[WARN] Skipping row 3429: No TIFF found for FAJA=34, PCA=7
[WARN] Skipping row 3441: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3448: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3455: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3457: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3458: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3466: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3480: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3481: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3484: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3485: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3488: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3489: No TIFF found for FAJA=84, PCA=7
[WARN] Skipping row 3497: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3506: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3510: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3513: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3518: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3533: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3534: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3537: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3540: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3559: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3577: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3583: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3589: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3595: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3596: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3598: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3602: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3643: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3649: No TIFF found for FAJA=83, PCA=7
[WARN] Skipping row 3666: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3675: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3679: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3683: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3686: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3690: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3692: No TIFF found for FAJA=76, PCA=7
[WARN] Skipping row 3697: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3703: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3708: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3711: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3713: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3730: No TIFF found for FAJA=75, PCA=7
[WARN] Skipping row 3731: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3734: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3735: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3747: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3753: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3758: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3760: No TIFF found for FAJA=68, PCA=7
[WARN] Skipping row 3785: No TIFF found for FAJA=67, PCA=7
[WARN] Skipping row 3798: No TIFF found for FAJA=67, PCA=7
[WARN] Skipping row 3809: No TIFF found for FAJA=60, PCA=7
[WARN] Skipping row 3810: No TIFF found for FAJA=60, PCA=7
[WARN] Skipping row 3826: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3835: No TIFF found for FAJA=85, PCA=7
[WARN] Skipping row 3845: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3846: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3853: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3856: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3863: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3865: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3870: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3883: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3892: No TIFF found for FAJA=78, PCA=7
[WARN] Skipping row 3908: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3918: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3930: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3931: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3933: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3935: No TIFF found for FAJA=77, PCA=7
[WARN] Skipping row 3942: No TIFF found for FAJA=70, PCA=7
[WARN] Skipping row 3953: No TIFF found for FAJA=70, PCA=7
[WARN] Skipping row 3955: No TIFF found for FAJA=70, PCA=7
[WARN] Skipping row 3959: No TIFF found for FAJA=70, PCA=7
[WARN] Skipping row 3971: No TIFF found for FAJA=70, PCA=7
