NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6412,8.826,93,20,51,Aprovechable,En Pie,18S,597344,9109539,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6425,9.671,95,21,51,Aprovechable,En Pie,18S,596826,9109553,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6432,5.6,76,19,51,Aprovechable,En Pie,18S,596321,9109575,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,90,6433,7.338,87,19,51,Aprovechable,En Pie,18S,596319,9109550,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,45,6451,5.74,75,20,51,Aprovechable,En Pie,18S,597642,9112682,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,86,8002,5,70,20,51,Semillero,En Pie,18S,598614,9109867,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,58,8018,5.453,75,19,51,Semillero,En Pie,18S,596665,9111667,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,8028,6.669,62,34,51,Semillero,En Pie,18S,596026,9112094,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,43,8033,9.872,79,31,51,Semillero,En Pie,18S,597209,9112828,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,65,8042,4.592,60,25,51,Semillero,En Pie,18S,598421,9111286,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,65,8043,3.716,51,28,51,Semillero,En Pie,18S,598063,9111295,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,80,8062,6.523,58,38,51,Semillero,En Pie,18S,598737,9110230,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,85,8064,5.248,55,34,51,Semillero,En Pie,18S,598442,9109882,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,84,8067,3.981,51,30,51,Semillero,En Pie,18S,597979,9109981,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,84,8068,5.511,60,30,51,Semillero,En Pie,18S,597910,9109997,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,84,8069,7.557,66,34,51,Semillero,En Pie,18S,597894,9109947,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,68,8083,7.167,51,54,51,Semillero,En Pie,18S,597319,9111120,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,8089,8.481,56,53,51,Semillero,En Pie,18S,596394,9111130,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,8091,9.118,57,55,51,Semillero,En Pie,18S,596360,9111157,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,28,8096,7.864,52,57,51,Semillero,En Pie,18S,596683,9113909,PC 08,
