x,y,feature_id,label,type
1031337.3833713268,8738013.519129451,197,huayruro,slide
1031430.7759850266,8738102.963373598,198,huayruro,slide
1031499.485598619,8738146.032894371,199,huayruro,slide
1031467.3215491368,8738133.24623853,200,huayruro,slide
1031394.009018014,8738188.873455115,201,huayruro,slide
1031309.4892967864,8738178.953181097,202,huayruro,slide
1031256.4565833204,8738170.8681926,203,huayruro,slide
1031195.494910654,8738187.064157413,204,huayruro,slide
1031236.3235673752,8738205.862181582,205,huayruro,slide
1031287.6692391568,8738236.804208377,206,huayruro,slide
1031350.1220440712,8738220.613515494,207,huayruro,slide
1031462.5721822776,8738192.217879402,208,huayruro,slide
1031563.1264374104,8738226.318200266,209,huayruro,slide
1031568.0165008302,8738209.03649866,210,huayruro,slide
1031593.2538568758,8738190.548413072,211,huayruro,slide
1031466.960705536,8737953.891524289,212,huayruro,slide
1031474.889563813,8737932.895680705,213,huayruro,slide
1031375.7284178528,8737801.867889937,214,huayruro,slide
1031312.4880221164,8737815.325695999,215,huayruro,slide
1031294.8698646072,8737804.826159954,216,huayruro,slide
1031256.184774184,8737739.761740431,217,huayruro,slide
1031287.1345210676,8737758.87211467,218,huayruro,slide
1031131.7299504495,8737761.575872269,219,huayruro,slide
1031173.5051995944,8737832.90846041,220,huayruro,slide
1031198.051290172,8737885.921076776,221,huayruro,slide
1031134.0140012156,8737884.51894199,222,huayruro,slide
1031311.0214127392,8737970.17139833,223,huayruro,slide
1030975.4211498698,8737824.09287605,224,huayruro,slide
1030941.4628996544,8737851.047942987,225,huayruro,slide
1030895.1191742629,8737844.947464563,226,huayruro,slide
1030894.7906489436,8737870.95363434,227,huayruro,slide
1030955.0282840516,8737902.643773977,228,huayruro,slide
1031021.3080487864,8737904.077310283,229,huayruro,slide
1030814.609369412,8737799.490797123,230,huayruro,slide
1030776.514890008,8737820.020491134,231,huayruro,slide
1030933.614999514,8738134.016643502,232,huayruro,slide
1031061.5453148232,8738216.997282188,233,huayruro,slide
1031047.7648826884,8738190.46010277,234,huayruro,slide
1031114.712910566,8738123.683463916,235,huayruro,slide
1031182.2574857746,8738189.220296275,236,huayruro,slide
1030896.1743893162,8738251.490541596,237,huayruro,slide
1031417.3650779912,8737893.143100739,238,huayruro,slide
