id,label,x,y,final_status
82,copaiba,380517.3208139592,8779301.216201514,failed
83,copaiba,380513.2223602801,8779286.302437369,failed
84,copaiba,380727.9301257846,8779156.018086197,center
85,copaiba,380766.10600515566,8779153.499670766,failed
86,copaiba,380803.3133850789,8779180.287950462,center
374,copaiba,380606.24195119,8779424.119537422,center
375,copaiba,380585.8015511127,8779230.222635498,center
73,copaiba,380998.68546795397,8779211.30054045,failed
87,copaiba,380961.0809892275,8779201.823732143,failed
88,copaiba,380998.26207276597,8779484.6894989,failed
53,catahua,379495.55377114203,8780758.421553854,center
54,catahua,379276.5492940947,8780234.20417923,failed
55,catahua,379280.83674848086,8780265.411267092,failed
56,catahua,379435.9239161649,8780245.933365405,center
57,catahua,379457.14877095923,8780362.696916498,failed
58,catahua,379684.7652957222,8780448.193616066,failed
59,catahua,379628.42524421547,8780490.942687402,center
60,catahua,379589.54457092064,8780517.539401403,center
61,catahua,379547.7999600757,8780565.729471078,center
62,catahua,379504.13103770535,8780310.969850972,center
63,catahua,379335.541163109,8780214.09576035,failed
64,catahua,379290.21898921597,8780330.026986502,center
65,catahua,379250.1860154212,8780591.633022537,center
66,catahua,379333.2342047194,8780569.193870202,center
67,catahua,379520.35631687846,8780631.872184256,center
68,catahua,379532.9611445878,8780755.339671023,center
69,catahua,379523.0181387689,8780709.15912394,center
371,catahua,379651.28175227955,8780601.866215657,failed
372,catahua,379348.29171075503,8780240.633110741,center
373,catahua,379352.46709015174,8780233.456018884,failed
89,catahua,380897.8880463073,8781704.786913795,failed
90,catahua,381109.60253680195,8781700.155487325,failed
91,catahua,380849.59850929724,8781647.842556048,failed
92,catahua,380708.5701821745,8781793.7238737,center
93,catahua,380669.4562935315,8781792.466722572,failed
94,catahua,380665.9670760302,8781804.318452828,failed
95,catahua,380666.8033160013,8781614.002905859,center
96,catahua,380948.1990200771,8781588.721967388,failed
97,catahua,380631.9885715496,8781317.237641484,failed
98,catahua,380848.6566131992,8781279.078251528,failed
99,catahua,380914.9849273215,8781263.709601045,failed
100,catahua,381011.0884976533,8781248.358826743,center
101,catahua,381023.9763143152,8781214.287632221,failed
102,catahua,381095.4326824898,8781245.812070692,failed
103,catahua,381068.60993416945,8781418.407168515,failed
104,catahua,380838.8010001789,8781539.416520953,failed
105,catahua,380812.12116076035,8781543.464339115,failed
106,catahua,380767.42035816866,8781496.4738592,failed
107,catahua,380692.89811283094,8781356.541318035,center
108,catahua,380680.23052357987,8781396.34582622,failed
109,catahua,380681.20037440216,8781459.978728643,center
110,catahua,380592.79486598395,8781433.65977342,failed
111,catahua,381094.81102395384,8781515.579145407,center
112,catahua,380923.8727970855,8781401.390553232,center
113,catahua,380739.55521018564,8781810.407224922,failed
114,catahua,380897.1385631678,8781425.953251222,center
376,catahua,380617.9832329792,8781797.892901763,failed
996,shihuahuaco,581717.5503338759,9139392.272850038,failed
1025,shihuahuaco,581624.4835748594,9139405.418007577,failed
1026,shihuahuaco,581659.4831613965,9139327.826671584,failed
1027,shihuahuaco,581666.5815482393,9139143.027808955,failed
1057,shihuahuaco,581857.4422358999,9139525.431241792,failed
1069,shihuahuaco,581670.8573619958,9139350.16719078,failed
1070,shihuahuaco,581635.7319798872,9139224.69482674,center
1071,shihuahuaco,581639.7817076062,9139179.323757991,failed
1134,shihuahuaco,581587.8429066234,9139550.995812105,failed
1179,shihuahuaco,581548.8299476762,9139187.064347304,center
975,guacamayo caspi,595317.1236962012,9145651.746460965,failed
1092,catuaba,594820.8278961482,9145540.533400897,failed
1093,catuaba,594775.9475397227,9145487.664386434,failed
1094,catuaba,594762.1540999849,9145826.394722637,failed
1122,guacamayo caspi,595415.956773693,9145759.931417732,failed
1123,guacamayo caspi,595365.704895054,9145766.991883136,failed
1004,catahua,582486.1548113689,9140085.697818395,failed
1009,estoraque,582156.718674174,9140493.849928755,center
