,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
14835,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4547,4.305,75,15,51,Aprovechable,En Pie,18S,597369,9111446,PC 08,
14836,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4549,8.751,70,35,51,Semillero,En Pie,18S,597193,9111425,PC 08,
14837,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4552,10.126,105,18,51,Aprovechable,En Pie,18S,597065,9111432,PC 08,
14838,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,63,4558,5.146,82,15,51,Aprovechable,En Pie,18S,596515,9111454,PC 08,
14839,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,62,4584,5.878,80,18,51,Aprovechable,En Pie,18S,597158,9111494,PC 08,
14840,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,62,4586,6.636,85,18,51,Aprovechable,En Pie,18S,597482,9111500,PC 08,
14841,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,62,4594,6.2,90,15,51,Aprovechable,En Pie,18S,597846,9111516,PC 08,
14842,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4618,15.014,100,26,51,Aprovechable,En Pie,18S,596036,9111905,PC 08,
14843,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4622,4.898,80,15,51,Aprovechable,En Pie,18S,596344,9111955,PC 08,
14844,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4626,3.436,67,15,51,Aprovechable,En Pie,18S,596564,9111968,PC 08,
